Title,buy_box_availability,rating_numeric,review_count,monthly_demand,current_price,listed_price_clean,is_sponsored_clean,has_coupon,has_bestseller_badge
"TP-Link AX1800 WiFi 6 Router V4 (Archer AX21) – Dual Band Wireless Internet, Gigabit, Easy Mesh, Works with Alexa - A Certified for Humans Device, Free Expert Support",Add to cart,4.4,22417.0,10000.0,54.98,99.99,Organic,0,1
"Mounting Dream UL Listed TV Mount for Most 37-75 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket",,4.7,111424.0,10000.0,29.99,35.99,Organic,0,0
"Brother Genuine TN760 High Yield Black Toner Cartridge, (For use with MFC-L2710DW MFC-L2750DW HL-L2350DW HL-L2370DW HL-L2395DW HL-L2390DW DCP-L2550DW Printers)",Add to cart,4.7,33424.0,10000.0,91.9,,Organic,0,1
"Amazon Basics 10 Security-Tinted Self-Seal Business Letter Envelopes, Peel & Seal Adhesive Closure, White, 500-Pack",Add to cart,4.8,17025.0,20000.0,18.99,,Organic,0,0
"AMD Ryzen 7 7800X3D 8-Core, 16-Thread Desktop Processor",Add to cart,4.8,5729.0,5000.0,359.0,449.0,Organic,0,0
"acer 7-in-1 Wireless Charging Station: Charger Stand for Multiple Devices for Apple - iPhone 16 15 14 13 12 Pro Max Apple Watch Airpods, Wireless Charger iPhone Charging Station with Bluetooth TimeSyn",Add to cart,4.3,598.0,5000.0,44.98,76.99,Sponsored,0,0
"acer 311 Chromebook 2025 Flagship Slim Light Laptop, 11.6"" HD Display, Dual-Core Intel N4500 Processor (Upto 2.80GHz), 4GB RAM, 64GB eMMC, Wi-Fi 5, Webcam 8+ Hrs Battery, Chrome OS +HubxcelAccessory",Add to cart,4.2,69.0,50.0,229.0,,Sponsored,1,0
"Amazon Basics Wide Ruled Lined Writing Note Pads, 8.5 inch x 11.75 inch, White, 12 Count (12 Pack of 50)",Add to cart,4.7,113740.0,30000.0,11.72,,Organic,0,1
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 20 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",Add to cart,4.8,109009.0,20000.0,17.85,18.99,Organic,0,0
Texas Instruments TI-Nspire CX II Color Graphing Calculator with Student Software (PC/Mac) White 3.54 x 7.48,Add to cart,4.6,3826.0,7000.0,148.0,165.0,Organic,0,0
"Amazon Basics Hanging Organizer File Folders for Efficient Filing, Sturdy, Adjustable Tabs, Letter Size, Pack of 25, Green",Add to cart,4.7,89487.0,20000.0,9.27,13.33,Organic,0,1
"Powermax 24-Count Double AA Batteries, Ultra Long Lasting Alkaline Battery for Home and Office, 10-Year Shelf Life, Reclosable Packaging",Add to cart,4.6,18220.0,40000.0,7.11,7.79,Organic,0,0
"Baseus 2 Pack 65W USB C Charger Block, PPS 3-Port Fast Compact Foldable USB C Charger for MacBook, iPad Pro, Galaxy S24, iPhone 16/15 and More Series",Add to cart,4.8,65.0,1000.0,29.99,49.99,Sponsored,0,0
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",Add to cart,4.7,7235.0,500.0,69.95,,Sponsored,0,0
"Powermax 24-Count Triple AAA Batteries, Ultra Long Lasting Alkaline Battery for Home and Office, 10-Year Shelf Life, Reclosable Packaging",Add to cart,4.6,25884.0,40000.0,6.99,,Organic,0,0
